year,month,gas,col_name,value
2539,มกราคม,ก๊าซซัลเฟอร์ไดออกไซด์,high,#
2539,มกราคม,ก๊าซซัลเฟอร์ไดออกไซด์,low,#
2539,มกราคม,ก๊าซซัลเฟอร์ไดออกไซด์,n_over,#
2539,มกราคม,ก๊าซซัลเฟอร์ไดออกไซด์,monthly_avg,#
2539,มกราคม,ก๊าซไนโตรเจนไดออกไซด์,high,#
2539,มกราคม,ก๊าซไนโตรเจนไดออกไซด์,low,#
2539,มกราคม,ก๊าซไนโตรเจนไดออกไซด์,n_over,#
2539,มกราคม,ก๊าซไนโตรเจนไดออกไซด์,monthly_avg,#
2539,มกราคม,ก๊าซคาร์บอนมอนอกไซด์,high,#
2539,มกราคม,ก๊าซคาร์บอนมอนอกไซด์,low,#
2539,มกราคม,ก๊าซคาร์บอนมอนอกไซด์,n_over,#
2539,มกราคม,ก๊าซคาร์บอนมอนอกไซด์,monthly_avg,#
2539,มกราคม,ก๊าซโอโซน,high,#
2539,มกราคม,ก๊าซโอโซน,low,#
2539,มกราคม,ก๊าซโอโซน,n_over,#
2539,มกราคม,ก๊าซโอโซน,monthly_avg,#
2539,มกราคม,ฝุ่นขนาดเล็กกว่า 10,high,#
2539,มกราคม,ฝุ่นขนาดเล็กกว่า 10,low,#
2539,มกราคม,ฝุ่นขนาดเล็กกว่า 10,n_over,#
2539,มกราคม,ฝุ่นขนาดเล็กกว่า 10,monthly_avg,#
2539,กุมภาพันธ์,ก๊าซซัลเฟอร์ไดออกไซด์,high,#
2539,กุมภาพันธ์,ก๊าซซัลเฟอร์ไดออกไซด์,low,#
2539,กุมภาพันธ์,ก๊าซซัลเฟอร์ไดออกไซด์,n_over,#
2539,กุมภาพันธ์,ก๊าซซัลเฟอร์ไดออกไซด์,monthly_avg,#
2539,กุมภาพันธ์,ก๊าซไนโตรเจนไดออกไซด์,high,#
2539,กุมภาพันธ์,ก๊าซไนโตรเจนไดออกไซด์,low,#
2539,กุมภาพันธ์,ก๊าซไนโตรเจนไดออกไซด์,n_over,#
2539,กุมภาพันธ์,ก๊าซไนโตรเจนไดออกไซด์,monthly_avg,#
2539,กุมภาพันธ์,ก๊าซคาร์บอนมอนอกไซด์,high,#
2539,กุมภาพันธ์,ก๊าซคาร์บอนมอนอกไซด์,low,#
2539,กุมภาพันธ์,ก๊าซคาร์บอนมอนอกไซด์,n_over,#
2539,กุมภาพันธ์,ก๊าซคาร์บอนมอนอกไซด์,monthly_avg,#
2539,กุมภาพันธ์,ก๊าซโอโซน,high,#
2539,กุมภาพันธ์,ก๊าซโอโซน,low,#
2539,กุมภาพันธ์,ก๊าซโอโซน,n_over,#
2539,กุมภาพันธ์,ก๊าซโอโซน,monthly_avg,#
2539,กุมภาพันธ์,ฝุ่นขนาดเล็กกว่า 10,high,#
2539,กุมภาพันธ์,ฝุ่นขนาดเล็กกว่า 10,low,#
2539,กุมภาพันธ์,ฝุ่นขนาดเล็กกว่า 10,n_over,#
2539,กุมภาพันธ์,ฝุ่นขนาดเล็กกว่า 10,monthly_avg,#
2539,มีนาคม,ก๊าซซัลเฟอร์ไดออกไซด์,high,#
2539,มีนาคม,ก๊าซซัลเฟอร์ไดออกไซด์,low,#
2539,มีนาคม,ก๊าซซัลเฟอร์ไดออกไซด์,n_over,#
2539,มีนาคม,ก๊าซซัลเฟอร์ไดออกไซด์,monthly_avg,#
2539,มีนาคม,ก๊าซไนโตรเจนไดออกไซด์,high,#
2539,มีนาคม,ก๊าซไนโตรเจนไดออกไซด์,low,#
2539,มีนาคม,ก๊าซไนโตรเจนไดออกไซด์,n_over,#
2539,มีนาคม,ก๊าซไนโตรเจนไดออกไซด์,monthly_avg,#
2539,มีนาคม,ก๊าซคาร์บอนมอนอกไซด์,high,#
2539,มีนาคม,ก๊าซคาร์บอนมอนอกไซด์,low,#
2539,มีนาคม,ก๊าซคาร์บอนมอนอกไซด์,n_over,#
2539,มีนาคม,ก๊าซคาร์บอนมอนอกไซด์,monthly_avg,#
2539,มีนาคม,ก๊าซโอโซน,high,#
2539,มีนาคม,ก๊าซโอโซน,low,#
2539,มีนาคม,ก๊าซโอโซน,n_over,#
2539,มีนาคม,ก๊าซโอโซน,monthly_avg,#
2539,มีนาคม,ฝุ่นขนาดเล็กกว่า 10,high,#
2539,มีนาคม,ฝุ่นขนาดเล็กกว่า 10,low,#
2539,มีนาคม,ฝุ่นขนาดเล็กกว่า 10,n_over,#
2539,มีนาคม,ฝุ่นขนาดเล็กกว่า 10,monthly_avg,#
